egg_ID,egg_feature,egg_RGB_col,JND_X,JND_Y,JND_Z,Luminance
IC1,background,#7E9A92FF,-0.36777254862331077,-1.4780014713307144,0.3167682707429337,3.4969957821428466
IC2,background,#939385FF,0.15441508137444132,0.5515284944290858,-0.3280998409429766,3.5368547821428535
IC3,background,#B8BCACFF,0.026944279446764644,0.3420386314649118,-0.12470836266965452,-1.7297663178571554
IC4,background,#87958AFF,-0.08774490897187805,-0.5728701178365936,-0.009941695603335238,3.8141337821428465
IC5,background,#C3C2B7FF,0.19442419157928092,0.5054301939921249,0.19068781634843396,-2.6112652178571523
IC6,background,#C5C4B2FF,0.08565966030752101,0.637170737688428,-0.26682567446824473,-2.8439163178571505
IC7,background,#C4C3B5FF,0.16005324008126245,0.5189319574779813,-0.0010160832054299535,-2.7058239178571455
IC8,background,#FFEEDFFF,0.4976542517723877,1.6290899317124963,0.22120310745091548,-7.8089603178571565
IC9,background,#B5BFB4FF,-0.047444457736781326,-0.1278445391051427,0.31464612371537604,-1.9318833178571424
IC10,background,#809B91FF,-0.4044317581649639,-1.4218710067551348,0.18883987511755695,3.3854498821428365
IC11,background,#708275FF,-0.2507420524593283,-0.9918943677282669,-0.16527752885449007,7.034331182142836
IC12,background,#7F9E97FF,-0.39843249678839177,-1.7296168606947977,0.33913493128122735,2.949574882142855
IC13,background,#DED2C2FF,0.3238401964389255,1.1769485323999553,-0.012420929722554354,-4.695187017857165
IC14,background,#75928BFF,-0.40538530321608635,-1.6703026956694762,0.37920695942664123,4.766583282142847
IC15,background,#B0B6ACFF,0.0760661374711543,0.021852074056968828,0.07317005544573606,-1.0022179178571662
IC16,background,#A2A798FF,-0.005337122495140171,0.17064824239387533,-0.2653704082187224,0.9097016821428383
IC17,background,#859A8EFF,-0.2833180439148806,-0.9524971587955572,-0.029665448427081898,3.3202491821428453
IC18,background,#F1CDB1FF,0.6243480356563131,2.6559425884407655,-0.7786387038950141,-4.884429117857167
IC19,background,#BBBDB0FF,0.1199719987253891,0.3304286169476156,0.038585077225022,-1.9515571178571633
IC20,background,#C4B79FFF,0.25791889045192956,1.4263968860954195,-0.763178116873954,-1.6641574178571545
IC21,background,#6C7A6CFF,-0.1560155251990468,-0.713126271210859,-0.6333426205873137,8.255280682142853
IC22,background,#DDCBB8FF,0.4029990862739978,1.5277551240071356,-0.24457540037710299,-4.080830617857146
IC23,background,#9AA79AFF,-0.15328538916777637,-0.38346080249771963,-0.0233693755463182,1.2381756821428382
IC24,background,#ADB5ADFF,0.03140178994167807,-0.15907559134886984,0.33442942334293213,-0.830736317857145
IC25,background,#EDDFCBFF,0.34073064798425123,1.29973744494527,-0.21150222578801547,-6.09658271785716
IC26,background,#B2BFB7FF,-0.02469902963430171,-0.3227853483446406,0.3645739022126506,-1.892649217857155
IC27,background,#E0BB99FF,0.6953978301801831,3.066830907346576,-1.413413473778121,-2.9001909178571452
IC28,background,#6A8281FF,-0.20768040746832753,-1.7280534910323655,0.689717516881147,7.049267182142842
IC29,background,#C0C5BAFF,0.10363638283292961,0.12252230952604033,0.15322414906321816,-2.8107430178571633
IC30,background,#E7D5BFFF,0.38669984298549787,1.5220629433311068,-0.45484179329254826,-5.198481117857142
IC31,background,#ABAD9DFF,0.06402877510937925,0.38103734324072835,-0.29059943968326696,0.07729288214284225
IC32,background,#F1D8C0FF,0.46688416322185106,1.938609150525818,-0.4813769432142583,-5.657112317857155
IC33,background,#769791FF,-0.44949724968164784,-1.9662036540017789,0.3863617380814353,4.12257818214286
IC34,background,#92A8A3FF,-0.17560713970522857,-1.1148683471427083,0.4525374395308686,1.2801323821428525
IC35,background,#7C9A93FF,-0.4002127344970582,-1.6924773954952972,0.34477550774598364,3.579232182142846
IC36,background,#A6B2A6FF,-0.08203832165342902,-0.3076780018782056,0.03111542892164924,-0.2904306178571403
IC37,background,#6C837BFF,-0.41404729570981186,-1.4738253466134807,0.23649958650668296,6.965241682142846
IC38,background,#476863FF,-0.7401996870508654,-2.898285081283628,0.5305107528931643,12.510542882142857
IC39,background,#91A396FF,-0.29778432440003666,-0.7269165270195284,-0.05251855912638083,1.923110482142846
IC40,background,#F3D9C7FF,0.538890011862961,1.8883108304782468,-0.14577063733613965,-5.832336617857152
IC41,background,#CEC7B6FF,0.21941760380767536,0.8937536507396865,-0.10767699734336247,-3.3364385178571467
IC42,background,#B3B7A8FF,0.08930574628514124,0.24178569485485546,-0.19377728452044493,-1.1289226178571425
IC43,background,#D1D0C2FF,0.14350422032973986,0.5257943902967243,0.033608555412806024,-4.189539017857157
IC44,background,#FFF0E6FF,0.5342115039587375,1.4990416241133546,0.4282940388119774,-8.019920317857157
IC45,background,#8F9D8DFF,-0.1785680647212232,-0.420737768259274,-0.3264536323713946,2.7052921821428413
IC46,background,#739288FF,-0.579518080667448,-1.816988699510283,0.15933844377707324,4.819123982142855
IC47,background,#C4BEADFF,0.19050510771113266,0.9119640669407266,-0.17879877926136076,-2.3038417178571535
IC48,background,#5C7771FF,-0.45712367598472003,-2.0421833407881613,0.22634322691724829,9.223884382142842
IC49,background,#EAD8C9FF,0.41620164277251903,1.419611213661785,-0.037598189711692334,-5.528635717857156
IC50,background,#D0C9BCFF,0.245403336442762,0.8584578946533901,0.09191485744122248,-3.641449317857166
